pollutant,outcome,year,lag,week_index,year_week,exposed,inc_lag,baseline_inc,delta_inc,baseline_window,n_neighbors
PM10,ILI,2024,1,46,2024-W11,0,0.0007803593917461003,0.0007203044112337638,6.00549805123365e-05,3,6
PM10,ILI,2024,1,47,2024-W12,0,0.0007249240251193282,0.0007277668644335216,-2.84283931419342e-06,3,6
PM10,ILI,2024,1,48,2024-W13,0,0.0007398489315188438,0.0007203044112337638,1.954452028508002e-05,3,6
PM10,ILI,2024,1,49,2024-W14,0,0.0007156847973481995,0.0007309650586619892,-1.528026131378973e-05,3,6
PM10,ILI,2024,1,50,2024-W15,0,0.0006943635024917487,0.0007203044112337638,-2.5940908742015135e-05,3,6
PM10,ILI,2024,1,51,2024-W16,0,0.0006915206631775552,0.0007050241499199741,-1.3503486742418827e-05,3,6
PM10,ILI,2024,1,52,2024-W17,0,0.0007370060922046503,0.0006858349845491683,5.1171107655482e-05,3,6
PM10,ILI,2024,1,53,2024-W18,0,0.0006801493059207814,0.0006808600157493298,-7.107098285483822e-07,3,6
PM10,ILI,2024,1,54,2024-W19,0,0.0006282674884367511,0.0006751743371209429,-4.690684868419181e-05,3,6
PM10,ILI,2024,1,55,2024-W20,0,0.0006701993683211044,0.0006570512364929596,1.3148131828144799e-05,3,6
PM10,ILI,2024,1,56,2024-W21,0,0.0006481673636361052,0.0006670011740926368,-1.883381045653153e-05,3,6
PM10,ILI,2024,1,57,2024-W22,0,0.0006502994931217503,0.0006670011740926368,-1.6701680970886493e-05,3,6
PM10,ILI,2024,1,58,2024-W23,0,0.0006638029798641691,0.0006602494307214274,3.553549142741694e-06,3,6
PM10,ILI,2024,1,59,2024-W24,0,0.0006801493059207814,0.0006570512364929596,2.3098069427821824e-05,3,6
PM10,ILI,2024,1,60,2024-W25,0,0.0007021813106057806,0.0006701993683211043,3.198194228467633e-05,3,6
PM10,ILI,2024,1,61,2024-W26,0,0.0006417709751791699,0.0006783725313494105,-3.660155617024065e-05,3,6
PM10,ILI,2024,1,62,2024-W27,0,0.0006929420828346519,0.0006709100781496528,2.2032004684999088e-05,3,6
PM10,ILI,2024,1,63,2024-W28,0,0.0006765957567780396,0.0006534976873502178,2.3098069427821824e-05,3,6
PM10,ILI,2024,1,64,2024-W29,0,0.0006652243995212659,0.0006353745867222347,2.9849812799031183e-05,3,6
PM10,ILI,2024,1,65,2024-W30,0,0.0006289781982652994,0.000616185421351429,1.2792776913870445e-05,3,6
PM10,ILI,2024,1,66,2024-W31,0,0.000521661014154497,0.000604458709180381,-8.279769502588397e-05,3,6
PM10,ILI,2024,1,67,2024-W32,0,0.0005429823090109478,0.0005735428316385273,-3.056052262757946e-05,3,6
PM10,ILI,2024,1,68,2024-W33,0,0.000567146443181592,0.0005323216615827224,3.482478159886964e-05,3,6
PM10,ILI,2024,1,69,2024-W34,0,0.0005799392200954625,0.0005269913378686097,5.294788222685279e-05,3,6
PM10,ILI,2024,1,70,2024-W35,0,0.000506025397926433,0.0005550643760962699,-4.903897816983685e-05,3,6
PM10,ILI,2024,1,71,2024-W36,0,0.00046338280821353134,0.0005735428316385273,-0.00011016002342499593,3,6
PM10,ILI,2024,1,72,2024-W37,0,0.0005323216615827224,0.0005952194814092522,-6.289781982652981e-05,3,6
PM10,ILI,2024,1,73,2024-W38,0,0.0006289781982652994,0.0005703446374100597,5.863356085523974e-05,3,6
PM10,ILI,2024,1,74,2024-W39,0,0.0006104997427230421,0.0006186729057513483,-8.173163028306232e-06,3,6
PM10,ILI,2024,1,75,2024-W40,0,0.0006574065914072339,0.0006104997427230421,4.690684868419181e-05,3,5
PM10,ILI,2024,1,76,2024-W41,0,0.000608367613237397,0.0006303996179223962,-2.2032004684999196e-05,3,4
PM10,ILI,2024,1,77,2024-W42,0,0.0006318210375794929,0.0006104997427230421,2.1321294856450814e-05,3,3
PM10,ILI,2024,1,78,2024-W43,1,0.0006900992435204585,0.0006318210375794929,5.82782059409656e-05,3,3
