pollutant,outcome,lag,week_index,year_week,note
PM10,ILI,1,82,2024-W47,baseline expanded to +/-5
PM10,ILI,1,86,2024-W51,baseline expanded to +/-4
PM10,ILI,1,138,2025-W51,baseline expanded to +/-4
PM10,ILI,2,35,2023-W52,baseline expanded to +/-4
PM10,ILI,2,36,2024-W01,baseline expanded to +/-5
PM10,ILI,2,37,2024-W02,baseline expanded to +/-4
PM10,ILI,2,81,2024-W46,baseline expanded to +/-4
PM10,ILI,2,82,2024-W47,baseline expanded to +/-5
PM10,ILI,2,86,2024-W51,baseline expanded to +/-4
PM10,ILI,2,138,2025-W51,baseline expanded to +/-4
PM10,pneumonia,0,35,2023-W52,baseline expanded to +/-4
PM10,pneumonia,0,36,2024-W01,baseline expanded to +/-5
PM10,pneumonia,0,37,2024-W02,baseline expanded to +/-4
PM10,pneumonia,0,81,2024-W46,baseline expanded to +/-4
PM10,pneumonia,0,82,2024-W47,baseline expanded to +/-5
PM10,pneumonia,0,86,2024-W51,baseline expanded to +/-4
PM10,pneumonia,0,138,2025-W51,baseline expanded to +/-4
PM10,pneumonia,1,35,2023-W52,baseline expanded to +/-4
PM10,pneumonia,1,36,2024-W01,baseline expanded to +/-5
PM10,pneumonia,1,37,2024-W02,baseline expanded to +/-4
PM10,pneumonia,1,81,2024-W46,baseline expanded to +/-4
PM10,pneumonia,1,82,2024-W47,baseline expanded to +/-5
PM10,pneumonia,1,86,2024-W51,baseline expanded to +/-4
PM10,pneumonia,1,138,2025-W51,baseline expanded to +/-4
PM10,pneumonia,2,35,2023-W52,baseline expanded to +/-4
PM10,pneumonia,2,36,2024-W01,baseline expanded to +/-5
PM10,pneumonia,2,37,2024-W02,baseline expanded to +/-4
PM10,pneumonia,2,81,2024-W46,baseline expanded to +/-4
PM10,pneumonia,2,82,2024-W47,baseline expanded to +/-5
PM10,pneumonia,2,86,2024-W51,baseline expanded to +/-4
PM10,pneumonia,2,138,2025-W51,baseline expanded to +/-4
